"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"Aeon Flux",0,0.87,55000000,"$47,953,341","$55,000,000","Lost money"
"Chain Reaction",1,1.09,55000000,"$60,209,334","$55,000,000","Made money"
"The Fan",0,0.34,55000000,"$18,582,965","$55,000,000","Lost money"
"Imagine That",0,0.29,55000000,"$16,123,323","$55,000,000","Lost money"
"Gods and Generals",0,0.23,55000000,"$12,923,936","$55,000,000","Lost money"
"Turbulence",0,0.21,55000000,"$11,532,774","$55,000,000","Lost money"
"Bullet to the Head",0,0.25,55000000,"$13,561,515","$55,000,000","Lost money"
"All the King's Men",0,0.17,55000000,"$9,521,458","$55,000,000","Lost money"
"Thunderbirds",0,0.51,55000000,"$28,231,444","$55,000,000","Lost money"
"A Very Long Engagement",1,1.08,55000000,"$59,606,587","$55,000,000","Made money"
"Lucky You",0,0.12,55000000,"$6,521,829","$55,000,000","Lost money"
"Lolita",0,0.02,55000000,"$1,147,784","$55,000,000","Lost money"
"Eye See You",0,0.03,55000000,"$1,807,990","$55,000,000","Lost money"
"Superman II",1,2,54000000,"$108,185,706","$54,000,000","Made money"
"Blade 2",1,2.86,54000000,"$154,338,601","$54,000,000","Made money"
"You, Me and Dupree",1,2.41,54000000,"$130,402,010","$54,000,000","Made money"
"Seven Pounds",1,3.09,54000000,"$166,617,328","$54,000,000","Made money"
"The Godfather: Part III",1,1.23,54000000,"$66,520,529","$54,000,000","Made money"
"Elizabethtown",0,0.94,54000000,"$50,719,373","$54,000,000","Lost money"
"Gigli",0,0.13,54000000,"$7,266,209","$54,000,000","Lost money"
"Shaft",1,2.02,53012938,"$107,190,108","$53,012,938","Made money"
"The Dukes of Hazzard",1,2.09,53000000,"$110,993,895","$53,000,000","Made money"
"Law Abiding Citizen",1,2.47,53000000,"$131,159,781","$53,000,000","Made money"
"Anastasia",1,2.64,53000000,"$139,801,410","$53,000,000","Made money"
"Moulin Rouge",1,3.38,53000000,"$179,213,196","$53,000,000","Made money"
"Domestic Disturbance",1,1.02,53000000,"$54,207,112","$53,000,000","Made money"
"Flags of Our Fathers",1,1.17,53000000,"$61,902,376","$53,000,000","Made money"
"Grindhouse",0,0.95,53000000,"$50,187,789","$53,000,000","Lost money"
"Beloved",0,0.43,53000000,"$22,852,487","$53,000,000","Lost money"
"Zero Dark Thirty",1,2.62,52500000,"$137,720,716","$52,500,000","Made money"
"Catch Me if You Can",1,6.75,52000000,"$351,106,800","$52,000,000","Made money"
"The Break Up",1,3.9,52000000,"$202,944,203","$52,000,000","Made money"
"Valentine's Day",1,4.18,52000000,"$217,569,328","$52,000,000","Made money"
"Casino",1,2.12,52000000,"$110,400,000","$52,000,000","Made money"
"The Change-Up",1,1.46,52000000,"$75,828,267","$52,000,000","Made money"
"The Thin Red Line",0,0.7,52000000,"$36,400,491","$52,000,000","Lost money"
"Man on the Moon",0,0.91,52000000,"$47,407,635","$52,000,000","Lost money"
"From Paris With Love",1,1.02,52000000,"$53,139,168","$52,000,000","Made money"
"Bulletproof Monk",0,0.44,52000000,"$23,010,607","$52,000,000","Lost money"
"Me, Myself & Irene",1,2.93,51000000,"$149,270,999","$51,000,000","Made money"
"Barnyard: The Original Party Animals",1,2.33,51000000,"$118,583,844","$51,000,000","Made money"
"The Adjustment Bureau",1,2.55,50200000,"$127,793,502","$50,200,000","Made money"
"The Twilight Saga: New Moon",1,14.2,50000000,"$709,823,634","$50,000,000","Made money"
"Shrek",1,9.84,50000000,"$491,812,794","$50,000,000","Made money"
"Ted",1,10.99,50000000,"$549,444,574","$50,000,000","Made money"
"Robin Hood: Prince of Thieves",1,7.81,50000000,"$390,500,000","$50,000,000","Made money"
"Jerry Maguire",1,5.48,50000000,"$274,000,000","$50,000,000","Made money"
"As Good as it Gets",1,6.28,50000000,"$314,111,923","$50,000,000","Made money"
"Patch Adams",1,4.04,50000000,"$202,200,000","$50,000,000","Made money"
"Anchorman: The Legend Continues",1,3.46,50000000,"$172,959,575","$50,000,000","Made money"
"Super 8",1,5.2,50000000,"$260,095,987","$50,000,000","Made money"
"Mr. Deeds",1,3.43,50000000,"$171,269,535","$50,000,000","Made money"
"Erin Brockovich",1,5.16,50000000,"$257,805,243","$50,000,000","Made money"
"How to Lose a Guy in 10 Days",1,3.54,50000000,"$177,079,973","$50,000,000","Made money"
"Interview with the Vampire: The Vampire Chronicles",1,4.47,50000000,"$223,564,608","$50,000,000","Made money"
"Yes Man",1,4.52,50000000,"$225,990,976","$50,000,000","Made money"
"Stepmom",1,3.19,50000000,"$159,745,279","$50,000,000","Made money"
"Disney Planes",1,4.4,50000000,"$219,782,580","$50,000,000","Made money"
"Failure to Launch",1,2.57,50000000,"$128,402,901","$50,000,000","Made money"
"Inside Man",1,3.69,50000000,"$184,634,237","$50,000,000","Made money"
"Crazy, Stupid, Love",1,2.97,50000000,"$148,351,197","$50,000,000","Made money"
"Payback",1,3.23,50000000,"$161,626,121","$50,000,000","Made money"
"Congo",1,3.04,50000000,"$152,022,333","$50,000,000","Made money"
"Knowing",1,3.76,50000000,"$187,858,642","$50,000,000","Made money"
"The Ring Two",1,3.24,50000000,"$161,941,727","$50,000,000","Made money"
"We Bought a Zoo",1,2.38,50000000,"$118,924,550","$50,000,000","Made money"
"Moneyball",1,2.22,50000000,"$111,174,374","$50,000,000","Made money"
"Garfield",1,4.02,50000000,"$200,802,638","$50,000,000","Made money"
"Christmas with the Kranks",1,1.93,50000000,"$96,501,902","$50,000,000","Made money"
"V for Vendetta",1,2.58,50000000,"$129,231,542","$50,000,000","Made money"
"Outbreak",1,1.36,50000000,"$67,823,573","$50,000,000","Made money"
"The Forgotten",1,2.34,50000000,"$117,211,892","$50,000,000","Made money"
"Herbie: Fully Loaded",1,2.88,50000000,"$144,110,682","$50,000,000","Made money"
"Shanghai Knights",1,1.77,50000000,"$88,316,835","$50,000,000","Made money"
"Curious George",1,1.4,50000000,"$70,114,174","$50,000,000","Made money"
"American Reunion",1,4.71,50000000,"$235,385,481","$50,000,000","Made money"
"Hansel & Gretel: Witch Hunters",1,4.51,50000000,"$225,703,475","$50,000,000","Made money"
"I am Number Four",1,2.92,50000000,"$145,982,797","$50,000,000","Made money"
"Don't Say a Word",1,2.09,50000000,"$104,488,383","$50,000,000","Made money"
"Unfaithful",1,2.38,50000000,"$119,114,494","$50,000,000","Made money"
"Syriana",1,1.85,50000000,"$92,690,959","$50,000,000","Made money"
"Resident Evil: Apocalypse",1,2.58,50000000,"$128,940,078","$50,000,000","Made money"
"Absolute Power",1,1,50000000,"$50,068,310","$50,000,000","Made money"
"The Game",0,0.97,50000000,"$48,265,581","$50,000,000","Lost money"
"G.I. Jane",0,0.96,50000000,"$48,169,156","$50,000,000","Lost money"
"Silent Hill",1,2,50000000,"$99,982,632","$50,000,000","Made money"
"The Replacements",1,1,50000000,"$50,054,511","$50,000,000","Made money"
"The Negotiator",0,0.98,50000000,"$49,105,766","$50,000,000","Lost money"
"Beverly Hills Cop III",1,2.38,50000000,"$119,180,938","$50,000,000","Made money"
"Gremlins 2: The New Batch",0,0.83,50000000,"$41,476,097","$50,000,000","Lost money"
"The Peacemaker",1,1.26,50000000,"$62,967,368","$50,000,000","Made money"
"Out of Time",1,1.11,50000000,"$55,489,826","$50,000,000","Made money"
"Bridget Jones: The Edge Of Reason",1,5.28,50000000,"$263,894,551","$50,000,000","Made money"
"The Beach",0,0.8,50000000,"$39,778,599","$50,000,000","Lost money"
"The Adventures of Sharkboy and Lavagirl in 3-D",1,1.39,50000000,"$69,425,966","$50,000,000","Made money"
"On Deadly Ground",0,0.77,50000000,"$38,590,458","$50,000,000","Lost money"
"Ninja Assassin",1,1.23,50000000,"$61,622,883","$50,000,000","Made money"
"Raising Helen",0,0.87,50000000,"$43,340,302","$50,000,000","Lost money"
"For Love of the Game",0,0.92,50000000,"$46,112,640","$50,000,000","Lost money"
"Jack Frost",0,0.69,50000000,"$34,645,374","$50,000,000","Lost money"
"Marmaduke",1,1.68,50000000,"$84,023,611","$50,000,000","Made money"
"Striptease",1,2.27,50000000,"$113,309,743","$50,000,000","Made money"
"Hereafter",1,2.1,50000000,"$105,246,941","$50,000,000","Made money"
"Murder by Numbers",1,1.13,50000000,"$56,643,267","$50,000,000","Made money"
"Assassins",1,1.67,50000000,"$83,306,268","$50,000,000","Made money"
"Defiance",0,0.85,50000000,"$42,268,745","$50,000,000","Lost money"
"Hannibal Rising",1,1.61,50000000,"$80,583,311","$50,000,000","Made money"
"The Story of Us",0,0.54,50000000,"$27,100,030","$50,000,000","Lost money"
"The Host",1,1.16,50000000,"$58,188,384","$50,000,000","Made money"
"Basic",0,0.85,50000000,"$42,598,498","$50,000,000","Lost money"
"Blood Work",0,0.52,50000000,"$26,199,517","$50,000,000","Lost money"
"The International",1,1.08,50000000,"$53,850,527","$50,000,000","Made money"
"Escape from L.A.",0,0.51,50000000,"$25,426,861","$50,000,000","Lost money"
"Twisted",0,0.8,50000000,"$40,119,848","$50,000,000","Lost money"
"The Life Aquatic with Steve Zissou",0,0.7,50000000,"$34,806,726","$50,000,000","Lost money"
"The Iron Giant",0,0.63,50000000,"$31,333,917","$50,000,000","Lost money"
"Dream House",0,0.8,50000000,"$39,932,340","$50,000,000","Lost money"
"Gamer",0,0.7,50000000,"$35,062,683","$50,000,000","Lost money"
"Man of the House",0,0.44,50000000,"$22,099,706","$50,000,000","Lost money"
"The Life of David Gale",0,0.58,50000000,"$28,920,188","$50,000,000","Lost money"
"Beautiful Creatures",1,1.12,50000000,"$55,940,671","$50,000,000","Made money"
"Into the Blue",0,0.84,50000000,"$41,982,227","$50,000,000","Lost money"
"Eastern Promises",1,1.11,50000000,"$55,367,342","$50,000,000","Made money"
"Baby's Day Out",0,0.33,50000000,"$16,581,575","$50,000,000","Lost money"
"The Messenger: The Story of Joan of Arc",0,0.29,50000000,"$14,271,297","$50,000,000","Lost money"
"Fair Game",0,0.52,50000000,"$26,097,497","$50,000,000","Lost money"
"Drive Angry",0,0.82,50000000,"$40,886,464","$50,000,000","Lost money"
"Mad City",0,0.21,50000000,"$10,561,038","$50,000,000","Lost money"
"The Scarlet Letter",0,0.21,50000000,"$10,359,006","$50,000,000","Lost money"
"Domino",0,0.46,50000000,"$22,969,202","$50,000,000","Lost money"
"Jade",0,0.2,50000000,"$9,812,870","$50,000,000","Lost money"
"Death to Smoochy",0,0.17,50000000,"$8,374,062","$50,000,000","Lost money"
"The Boat That Rocked",0,0.75,50000000,"$37,472,651","$50,000,000","Lost money"
"The Big Bounce",0,0.13,50000000,"$6,626,115","$50,000,000","Lost money"
"What Planet Are You From?",0,0.13,50000000,"$6,291,602","$50,000,000","Lost money"
"Outlander",0,0.03,50000000,"$1,250,617","$50,000,000","Lost money"
"The One",0,0.9,49000000,"$43,905,746","$49,000,000","Lost money"
"Invictus",1,2.54,49000000,"$124,491,364","$49,000,000","Made money"
"Anna Karenina",1,1.44,49000000,"$70,735,540","$49,000,000","Made money"
"Indiana Jones and the Last Crusade",1,9.88,48000000,"$474,171,806","$48,000,000","Made money"
"The Ring",1,5.17,48000000,"$248,218,486","$48,000,000","Made money"
"Traffic",1,4.34,48000000,"$208,300,000","$48,000,000","Made money"
"Panic Room",1,4.09,48000000,"$196,308,367","$48,000,000","Made money"
"The Thomas Crown Affair",1,2.59,48000000,"$124,304,264","$48,000,000","Made money"
"The Bone Collector",1,3.16,48000000,"$151,463,090","$48,000,000","Made money"
"Three Kings",1,2.24,48000000,"$107,752,036","$48,000,000","Made money"
"The Tooth Fairy",1,2.35,48000000,"$112,610,386","$48,000,000","Made money"
"Rat Race",1,1.8,48000000,"$86,607,223","$48,000,000","Made money"
"3:10 to Yuma",1,1.48,48000000,"$71,171,825","$48,000,000","Made money"
"K-PAX",1,1.05,48000000,"$50,315,140","$48,000,000","Made money"
"Kate and Leopold",1,1.48,48000000,"$70,937,778","$48,000,000","Made money"
"Bedazzled",1,1.88,48000000,"$90,376,224","$48,000,000","Made money"
"Out of Sight",1,1.62,48000000,"$77,562,568","$48,000,000","Made money"
"The Cotton Club",0,0.54,48000000,"$25,928,721","$48,000,000","Lost money"
"Rambo",1,2.36,47500000,"$112,214,531","$47,500,000","Made money"
"Dick Tracy",1,3.46,47000000,"$162,738,726","$47,000,000","Made money"
"The Cable Guy",1,2.19,47000000,"$102,825,796","$47,000,000","Made money"
"Riding in Cars with Boys",0,0.63,47000000,"$29,781,453","$47,000,000","Lost money"
"Happily N'Ever After",0,0.81,47000000,"$37,923,818","$47,000,000","Lost money"
"Solaris",0,0.32,47000000,"$14,970,038","$47,000,000","Lost money"
"Jonah Hex",0,0.23,47000000,"$11,022,696","$47,000,000","Lost money"
"Mary Reilly",0,0.27,47000000,"$12,900,000","$47,000,000","Lost money"
"My Best Friend's Wedding",1,6.5,46000000,"$298,923,419","$46,000,000","Made money"
"America's Sweethearts",1,3.49,46000000,"$160,648,493","$46,000,000","Made money"
"Star Trek: First Contact",1,3.26,46000000,"$150,000,000","$46,000,000","Made money"
"Insomnia",1,2.47,46000000,"$113,622,499","$46,000,000","Made money"
"Prisoners",1,2.47,46000000,"$113,402,302","$46,000,000","Made money"
"Courage Under Fire",1,2.19,46000000,"$100,833,145","$46,000,000","Made money"
"Inchon",0,0.1,46000000,"$4,408,636","$46,000,000","Lost money"
"Liar Liar",1,6.73,45000000,"$302,710,615","$45,000,000","Made money"
"A Bug's Life",1,8.07,45000000,"$363,095,319","$45,000,000","Made money"
"The Flintstones",1,7.97,45000000,"$358,500,000","$45,000,000","Made money"
"Scary Movie 3",1,3.45,45000000,"$155,200,000","$45,000,000","Made money"
"Miss Congeniality",1,4.74,45000000,"$213,420,951","$45,000,000","Made money"
"Journey to the Center of the Earth",1,5.35,45000000,"$240,904,370","$45,000,000","Made money"
"The Pelican Brief",1,4.18,45000000,"$187,995,859","$45,000,000","Made money"
"The Princess Diaries 2: Royal Engagement",1,2.71,45000000,"$122,071,435","$45,000,000","Made money"
"The Bucket List",1,3.87,45000000,"$174,310,293","$45,000,000","Made money"
"The Client",1,2.61,45000000,"$117,615,211","$45,000,000","Made money"
"The Muppets",1,3.58,45000000,"$160,971,922","$45,000,000","Made money"
"Patriot Games",1,3.96,45000000,"$178,100,000","$45,000,000","Made money"
"Monster-in-Law",1,3.47,45000000,"$155,931,301","$45,000,000","Made money"
"Training Day",1,2.32,45000000,"$104,505,362","$45,000,000","Made money"
"Galaxy Quest",1,2.01,45000000,"$90,523,726","$45,000,000","Made money"
"Scary Movie 2",1,3.14,45000000,"$141,189,101","$45,000,000","Made money"
"Blade",1,2.92,45000000,"$131,237,688","$45,000,000","Made money"
"Coach Carter",1,1.7,45000000,"$76,669,806","$45,000,000","Made money"
"The Bounty Hunter",1,2.98,45000000,"$134,279,918","$45,000,000","Made money"
"Changing Lanes",1,1.48,45000000,"$66,790,248","$45,000,000","Made money"
"Anaconda",1,3.04,45000000,"$136,998,907","$45,000,000","Made money"
"Underworld: Evolution",1,2.47,45000000,"$111,318,875","$45,000,000","Made money"
"Coyote Ugly",1,2.57,45000000,"$115,786,269","$45,000,000","Made money"
"Love Actually",1,5.51,45000000,"$247,967,903","$45,000,000","Made money"
"Jack",1,1.3,45000000,"$58,617,334","$45,000,000","Made money"
"The Specialist",1,1.27,45000000,"$57,362,581","$45,000,000","Made money"
"Tin Cup",1,1.69,45000000,"$75,854,588","$45,000,000","Made money"
"Yours, Mine and Ours",1,1.61,45000000,"$72,359,917","$45,000,000","Made money"
"Kicking and Screaming",1,1.24,45000000,"$55,842,724","$45,000,000","Made money"
"The Hitchhiker's Guide to the Galaxy",1,2.31,45000000,"$104,019,112","$45,000,000","Made money"
"Resident Evil: Extinction",1,3.25,45000000,"$146,162,920","$45,000,000","Made money"
"Fat Albert",1,1.08,45000000,"$48,563,556","$45,000,000","Made money"
"The River Wild",1,2.09,45000000,"$94,215,000","$45,000,000","Made money"
"Last Holiday",0,0.96,45000000,"$43,343,247","$45,000,000","Lost money"
"16 Blocks",1,1.46,45000000,"$65,595,141","$45,000,000","Made money"
"The Indian in the Cupboard",0,0.79,45000000,"$35,627,222","$45,000,000","Lost money"
"Cellular",1,1.37,45000000,"$61,475,984","$45,000,000","Made money"
"The Ant Bully",1,1.1,45000000,"$49,610,898","$45,000,000","Made money"
"Johnny English",1,3.63,45000000,"$163,126,676","$45,000,000","Made money"
"Dune",0,0.61,45000000,"$27,447,471","$45,000,000","Lost money"
"Aliens in the Attic",1,1.32,45000000,"$59,551,283","$45,000,000","Made money"
"Across the Universe",0,0.65,45000000,"$29,367,143","$45,000,000","Lost money"
"Revolutionary Road",1,1.77,45000000,"$79,564,960","$45,000,000","Made money"
"Babylon A.D.",1,1.56,45000000,"$70,216,497","$45,000,000","Made money"
"Frankenstein",1,2.49,45000000,"$112,006,296","$45,000,000","Made money"
"The Glimmer Man",0,0.81,45000000,"$36,404,841","$45,000,000","Lost money"
"Multiplicity",0,0.45,45000000,"$20,133,326","$45,000,000","Lost money"
"The Pledge",0,0.65,45000000,"$29,406,132","$45,000,000","Lost money"
"The Producers: The Movie Musical",0,0.73,45000000,"$32,952,995","$45,000,000","Lost money"
"The Phantom",0,0.38,45000000,"$17,220,599","$45,000,000","Lost money"
"Rebound",0,0.39,45000000,"$17,492,014","$45,000,000","Lost money"
"The Ghost Writer",1,1.46,45000000,"$65,532,491","$45,000,000","Made money"
"All the Pretty Horses",0,0.4,45000000,"$18,120,267","$45,000,000","Lost money"
"Bangkok Dangerous",1,1.04,45000000,"$46,598,133","$45,000,000","Made money"
"Nixon",0,0.77,45000000,"$34,668,249","$45,000,000","Lost money"
"Dredd",0,0.91,45000000,"$40,868,994","$45,000,000","Lost money"
"Deep Rising",0,0.25,45000000,"$11,203,026","$45,000,000","Lost money"
"Johnny English Reborn",1,3.66,45000000,"$164,539,660","$45,000,000","Made money"
"Miracle at St. Anna",0,0.2,45000000,"$9,110,458","$45,000,000","Lost money"
"Big Trouble",0,0.19,45000000,"$8,488,871","$45,000,000","Lost money"
"Man cheng jin dai huang jin jia",1,1.68,45000000,"$75,566,773","$45,000,000","Made money"
"Love in the Time of Cholera",0,0.69,45000000,"$31,077,418","$45,000,000","Lost money"
"Pinocchio",0,0.7,45000000,"$31,681,811","$45,000,000","Lost money"
"Shadow Conspiracy",0,0.05,45000000,"$2,154,540","$45,000,000","Lost money"
"Argo",1,4.97,44500000,"$221,300,694","$44,500,000","Made money"
"The Fugitive",1,8.04,44000000,"$353,715,317","$44,000,000","Made money"
"Rambo: First Blood Part II",1,6.83,44000000,"$300,400,000","$44,000,000","Made money"
"Sleepers",1,3.76,44000000,"$165,600,852","$44,000,000","Made money"
"Charlie St. Cloud",1,1.1,44000000,"$48,478,084","$44,000,000","Made money"
"The Juror",0,0.52,44000000,"$22,730,924","$44,000,000","Lost money"
"Heaven's Gate",0,0.08,44000000,"$3,484,331","$44,000,000","Lost money"
"The Heat",1,5.37,43000000,"$230,781,587","$43,000,000","Made money"
"Finding Forrester",1,1.86,43000000,"$80,013,623","$43,000,000","Made money"
"28 Days",1,1.44,43000000,"$62,063,972","$43,000,000","Made money"
"Danny the Dog",1,1.14,43000000,"$49,037,621","$43,000,000","Made money"
"The Sweetest Thing",1,1.04,43000000,"$44,633,441","$43,000,000","Made money"
"The Mechanic",1,1.8,42500000,"$76,347,393","$42,500,000","Made money"
"The Firm",1,6.44,42000000,"$270,340,892","$42,000,000","Made money"
"Notting Hill",1,8.66,42000000,"$363,728,226","$42,000,000","Made money"
"Chicken Run",1,5.42,42000000,"$227,793,915","$42,000,000","Made money"
"Along Came Polly",1,4.12,42000000,"$173,044,410","$42,000,000","Made money"
"Boomerang",1,3.12,42000000,"$131,052,444","$42,000,000","Made money"
"Brüno",1,3.11,42000000,"$130,788,243","$42,000,000","Made money"
"Here Comes the Boom",1,1.74,42000000,"$73,239,258","$42,000,000","Made money"
"High Crimes",1,1.52,42000000,"$63,781,100","$42,000,000","Made money"
"The Mirror Has Two Faces",0,0.98,42000000,"$41,267,469","$42,000,000","Lost money"
"Red Riding Hood",1,2.15,42000000,"$90,300,442","$42,000,000","Made money"
"The Mothman Prophecies",1,1.3,42000000,"$54,639,865","$42,000,000","Made money"
"License to Kill",1,3.72,42000000,"$156,167,015","$42,000,000","Made money"
"One for the Money",0,0.86,42000000,"$36,197,221","$42,000,000","Lost money"
"15 Minutes",1,1.34,42000000,"$56,331,864","$42,000,000","Made money"
"Lord of War",1,1.48,42000000,"$62,142,629","$42,000,000","Made money"
"Super Mario Bros.",0,0.5,42000000,"$20,844,907","$42,000,000","Lost money"
"Hero",1,1.59,42000000,"$66,787,173","$42,000,000","Made money"
"The Warrior's Way",0,0.2,42000000,"$8,514,325","$42,000,000","Lost money"
"McHale's Navy",0,0.1,42000000,"$4,408,420","$42,000,000","Lost money"
"Micmacs",0,0.28,42000000,"$11,756,922","$42,000,000","Lost money"
"8 Mile",1,5.92,41000000,"$242,924,075","$41,000,000","Made money"
"A Knight's Tale",1,2.45,41000000,"$100,622,586","$41,000,000","Made money"
"The Medallion",0,0.54,41000000,"$22,108,977","$41,000,000","Lost money"
"The Sixth Sense",1,16.82,40000000,"$672,806,292","$40,000,000","Made money"
"The Wedding Crashers",1,7.08,40000000,"$283,218,368","$40,000,000","Made money"
"The Karate Kid",1,8.98,40000000,"$359,091,618","$40,000,000","Made money"
"The Proposal",1,7.87,40000000,"$314,709,717","$40,000,000","Made money"
"American Hustle",1,6.22,40000000,"$248,960,584","$40,000,000","Made money"
"Cheaper by the Dozen",1,4.74,40000000,"$189,714,544","$40,000,000","Made money"
"Lone Survivor",1,3.4,40000000,"$136,195,601","$40,000,000","Made money"
"Back to the Future Part II",1,8.3,40000000,"$332,000,000","$40,000,000","Made money"
"Double Jeopardy",1,4.45,40000000,"$177,835,231","$40,000,000","Made money"
"Spy Kids 3-D: Game Over",1,4.2,40000000,"$167,851,995","$40,000,000","Made money"
"A Time to Kill",1,3.81,40000000,"$152,266,007","$40,000,000","Made money"
"A League of Their Own",1,3.31,40000000,"$132,440,066","$40,000,000","Made money"
"The Social Network",1,5.62,40000000,"$224,922,135","$40,000,000","Made money"
"42",1,2.38,40000000,"$95,020,213","$40,000,000","Made money"
"Julie & Julia",1,3.17,40000000,"$126,646,119","$40,000,000","Made money"
"He's Just Not That Into You",1,4.46,40000000,"$178,390,243","$40,000,000","Made money"
"The Karate Kid",1,2.27,40000000,"$90,815,558","$40,000,000","Made money"
"Scary Movie 4",1,4.47,40000000,"$178,710,620","$40,000,000","Made money"
"Scream 3",1,4.05,40000000,"$161,838,076","$40,000,000","Made money"
"Back to the Future Part III",1,6.09,40000000,"$243,700,000","$40,000,000","Made money"
"Bram Stoker's Dracula",1,5.4,40000000,"$215,862,692","$40,000,000","Made money"
"Eight Below",1,3.02,40000000,"$120,612,565","$40,000,000","Made money"
"The Talented Mr. Ripley",1,3.22,40000000,"$128,792,135","$40,000,000","Made money"
"The Last of the Mohicans",1,1.89,40000000,"$75,505,856","$40,000,000","Made money"
"Ray",1,3.12,40000000,"$124,823,094","$40,000,000","Made money"
"Sin City",1,3.97,40000000,"$158,753,820","$40,000,000","Made money"
"I Love You, Man",1,2.29,40000000,"$91,729,503","$40,000,000","Made money"
"Shallow Hal",1,1.77,40000000,"$70,836,296","$40,000,000","Made money"
"JFK",1,5.13,40000000,"$205,400,000","$40,000,000","Made money"
"Big Momma's House 2",1,3.43,40000000,"$137,047,376","$40,000,000","Made money"
"The Mexican",1,3.63,40000000,"$145,238,250","$40,000,000","Made money"
"The Final Destination",1,4.68,40000000,"$187,384,627","$40,000,000","Made money"
"17 Again",1,3.49,40000000,"$139,474,906","$40,000,000","Made money"
"Unknown",1,3.4,40000000,"$136,123,083","$40,000,000","Made money"
"Get Him to the Greek",1,2.29,40000000,"$91,455,875","$40,000,000","Made money"
"Behind Enemy Lines",1,1.47,40000000,"$58,855,732","$40,000,000","Made money"
"The Lincoln Lawyer",1,2.18,40000000,"$87,145,086","$40,000,000","Made money"
"Shall We Dance?",1,2.95,40000000,"$118,097,882","$40,000,000","Made money"
"Escape From Planet Earth",1,1.66,40000000,"$66,454,811","$40,000,000","Made money"
"Small Soldiers",1,1.79,40000000,"$71,743,823","$40,000,000","Made money"
"Spawn",1,2.2,40000000,"$87,949,859","$40,000,000","Made money"
"The Count of Monte Cristo",1,1.88,40000000,"$75,389,090","$40,000,000","Made money"
"The Prestige",1,2.7,40000000,"$107,896,006","$40,000,000","Made money"
"The Lake House",1,2.87,40000000,"$114,830,111","$40,000,000","Made money"
"Predators",1,3.18,40000000,"$127,234,389","$40,000,000","Made money"
"The Living Daylights",1,4.78,40000000,"$191,200,000","$40,000,000","Made money"
"Apocalypto",1,3.03,40000000,"$121,032,272","$40,000,000","Made money"
"Music and Lyrics",1,3.63,40000000,"$145,021,477","$40,000,000","Made money"
"Legal Eagles",1,1.25,40000000,"$49,851,591","$40,000,000","Made money"
"Secret Window",1,2.3,40000000,"$92,111,551","$40,000,000","Made money"
"The Skeleton Key",1,2.31,40000000,"$92,256,918","$40,000,000","Made money"
"Made of Honor",1,2.66,40000000,"$106,548,738","$40,000,000","Made money"
"The Rainmaker",1,1.15,40000000,"$45,916,769","$40,000,000","Made money"
"Medicine Man",1,1.12,40000000,"$44,948,240","$40,000,000","Made money"
"Amistad",1,1.11,40000000,"$44,229,441","$40,000,000","Made money"
"Final Destination 5",1,3.95,40000000,"$157,887,643","$40,000,000","Made money"
"Fever Pitch",1,1.25,40000000,"$50,071,069","$40,000,000","Made money"
"Ri¢hie Ri¢h",0,0.95,40000000,"$38,087,756","$40,000,000","Lost money"
"Autumn in New York",1,2.27,40000000,"$90,717,684","$40,000,000","Made money"
"Paul",1,2.5,40000000,"$100,179,814","$40,000,000","Made money"
"The Guilt Trip",0,0.93,40000000,"$37,134,215","$40,000,000","Lost money"
"Colombiana",1,1.79,40000000,"$71,698,079","$40,000,000","Made money"
"8MM",1,2.41,40000000,"$96,398,826","$40,000,000","Made money"
"Hanging Up",1,1.3,40000000,"$51,867,723","$40,000,000","Made money"
"The Doors",0,0.86,40000000,"$34,416,893","$40,000,000","Lost money"
"Mickey Blue Eyes",1,1.35,40000000,"$53,864,342","$40,000,000","Made money"
"Pay it Forward",0,0.84,40000000,"$33,508,922","$40,000,000","Lost money"
"Drillbit Taylor",1,1.24,40000000,"$49,686,263","$40,000,000","Made money"
"The Shadow",0,0.8,40000000,"$31,835,600","$40,000,000","Lost money"
"Morning Glory",1,1.5,40000000,"$60,040,974","$40,000,000","Made money"
"Get Rich or Die Tryin'",1,1.16,40000000,"$46,437,122","$40,000,000","Made money"
"The Art of War",0,0.75,40000000,"$30,199,105","$40,000,000","Lost money"
"Bless the Child",1,1.01,40000000,"$40,435,694","$40,000,000","Made money"
"Rent",0,0.79,40000000,"$31,670,620","$40,000,000","Lost money"
"The Out-of-Towners",0,0.71,40000000,"$28,544,120","$40,000,000","Lost money"
"The Island of Dr. Moreau",0,0.69,40000000,"$27,682,712","$40,000,000","Lost money"
"The Musketeer",0,0.68,40000000,"$27,053,815","$40,000,000","Lost money"
"The Other Boleyn Girl",1,1.94,40000000,"$77,714,957","$40,000,000","Made money"
"Sweet November",1,1.64,40000000,"$65,754,228","$40,000,000","Made money"
"The Reaping",1,1.56,40000000,"$62,226,214","$40,000,000","Made money"
"Season of the Witch",1,2.41,40000000,"$96,502,347","$40,000,000","Made money"
"Renaissance Man",0,0.6,40000000,"$24,172,899","$40,000,000","Lost money"
"Quest for Camelot",0,0.95,40000000,"$38,172,500","$40,000,000","Lost money"
"City by the Sea",0,0.56,40000000,"$22,433,915","$40,000,000","Lost money"
"At First Sight",0,0.56,40000000,"$22,365,133","$40,000,000","Lost money"
