"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"Olympus Has Fallen",1,2.15,70000000,"$150,562,164","$70,000,000","Made money"
"Battle: Los Angeles",1,3.03,70000000,"$212,005,201","$70,000,000","Made money"
"AVP: Alien Vs. Predator",1,2.46,70000000,"$172,543,519","$70,000,000","Made money"
"War Horse",1,2.24,70000000,"$156,815,529","$70,000,000","Made money"
"We Were Soldiers",1,1.64,70000000,"$114,658,262","$70,000,000","Made money"
"Star Trek: Insurrection",1,1.68,70000000,"$117,800,000","$70,000,000","Made money"
"Big Fish",1,1.76,70000000,"$123,432,867","$70,000,000","Made money"
"Wolf",1,1.87,70000000,"$131,011,757","$70,000,000","Made money"
"Underworld: Awakening",1,2.29,70000000,"$160,379,930","$70,000,000","Made money"
"The Abyss",0,0.77,70000000,"$54,243,125","$70,000,000","Lost money"
"Wall Street 2: Money Never Sleeps",1,1.96,70000000,"$137,431,619","$70,000,000","Made money"
"The Dilemma",1,1.01,70000000,"$70,546,865","$70,000,000","Made money"
"The Siege",1,1.67,70000000,"$116,625,798","$70,000,000","Made money"
"Stardust",1,1.94,70000000,"$135,556,675","$70,000,000","Made money"
"Rock of Ages",0,0.72,70000000,"$50,118,613","$70,000,000","Lost money"
"Seven Years in Tibet",1,1.88,70000000,"$131,445,884","$70,000,000","Made money"
"Sky Captain and the World of Tomorrow",0,0.71,70000000,"$49,730,854","$70,000,000","Lost money"
"I Spy",0,0.86,70000000,"$60,279,822","$70,000,000","Lost money"
"Bad Company",0,0.99,70000000,"$69,157,016","$70,000,000","Lost money"
"Doom",0,0.78,70000000,"$54,612,337","$70,000,000","Lost money"
"Escape Plan",1,1.48,70000000,"$103,813,103","$70,000,000","Made money"
"Killer Elite",0,0.83,70000000,"$57,777,106","$70,000,000","Lost money"
"Hard Rain",0,0.28,70000000,"$19,870,567","$70,000,000","Lost money"
"Hart's War",0,0.47,70000000,"$33,076,815","$70,000,000","Lost money"
"Rollerball",0,0.37,70000000,"$25,852,508","$70,000,000","Lost money"
"Ballistic: Ecks vs. Sever",0,0.2,70000000,"$14,294,842","$70,000,000","Lost money"
"Osmosis Jones",0,0.19,70000000,"$13,596,911","$70,000,000","Lost money"
"Basic Instinct 2",0,0.51,70000000,"$35,417,162","$70,000,000","Lost money"
"Agora",0,0.56,70000000,"$38,992,292","$70,000,000","Lost money"
"Despicable Me",1,7.88,69000000,"$543,495,033","$69,000,000","Made money"
"Dinner for Schmucks",1,1.26,69000000,"$86,796,502","$69,000,000","Made money"
"The Twilight Saga: Eclipse",1,10.29,68000000,"$699,590,681","$68,000,000","Made money"
"The Sum of All Fears",1,2.85,68000000,"$193,500,000","$68,000,000","Made money"
"The Score",1,1.67,68000000,"$113,542,091","$68,000,000","Made money"
"Money Train",1,1.14,68000000,"$77,224,232","$68,000,000","Made money"
"Dreamcatcher",1,1.11,68000000,"$75,685,268","$68,000,000","Made money"
"Mystery Men",0,0.49,68000000,"$33,462,011","$68,000,000","Lost money"
"The Insider",0,0.89,68000000,"$60,265,197","$68,000,000","Lost money"
"Doctor Seuss' The Lorax",1,5.2,67500000,"$350,780,246","$67,500,000","Made money"
"Body of Lies",1,1.61,67500000,"$108,394,666","$67,500,000","Made money"
"Abraham Lincoln: Vampire Hunter",1,1.71,67500000,"$115,119,139","$67,500,000","Made money"
"That's My Boy",0,0.86,67500000,"$58,058,367","$67,500,000","Lost money"
"Last Man Standing",0,0.27,67000000,"$18,115,927","$67,000,000","Lost money"
"The Last Legion",0,0.38,67000000,"$25,332,060","$67,000,000","Lost money"
"Entrapment",1,3.21,66000000,"$211,700,000","$66,000,000","Made money"
"The X Files: Fight the Future",1,2.87,66000000,"$189,176,423","$66,000,000","Made money"
"Saving Private Ryan",1,7.46,65000000,"$485,035,085","$65,000,000","Made money"
"What Women Want",1,5.72,65000000,"$372,100,000","$65,000,000","Made money"
"Lincoln",1,4.2,65000000,"$273,000,960","$65,000,000","Made money"
"Ice Age",1,5.94,65000000,"$386,116,343","$65,000,000","Made money"
"Apollo 13",1,5.14,65000000,"$334,100,000","$65,000,000","Made money"
"The Matrix",1,7.08,65000000,"$460,279,930","$65,000,000","Made money"
"Les Miserables",1,6.8,65000000,"$442,022,894","$65,000,000","Made money"
"The Santa Clause 2",1,2.66,65000000,"$172,825,854","$65,000,000","Made money"
"Total Recall",1,4.02,65000000,"$261,400,000","$65,000,000","Made money"
"You've Got Mail",1,3.86,65000000,"$250,800,000","$65,000,000","Made money"
"Due Date",1,3.26,65000000,"$211,739,043","$65,000,000","Made money"
"Step Brothers",1,1.98,65000000,"$128,468,793","$65,000,000","Made money"
"Jumanji",1,4.04,65000000,"$262,758,310","$65,000,000","Made money"
"The Mask of Zorro",1,3.6,65000000,"$233,700,000","$65,000,000","Made money"
"Space Cowboys",1,1.98,65000000,"$128,874,043","$65,000,000","Made money"
"Cliffhanger",1,3.92,65000000,"$255,000,000","$65,000,000","Made money"
"Broken Arrow",1,2.28,65000000,"$148,345,997","$65,000,000","Made money"
"World Trade Center",1,2.51,65000000,"$163,295,654","$65,000,000","Made money"
"The Kid",1,1.07,65000000,"$69,688,384","$65,000,000","Made money"
"Mona Lisa Smile",1,2.17,65000000,"$141,205,169","$65,000,000","Made money"
"The Dictator",1,2.76,65000000,"$179,379,532","$65,000,000","Made money"
