Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type
1012978,Columbia,"Columbia,Alabama,United States",21133,US,City
1012979,Columbiana,"Columbiana,Alabama,United States",21133,US,City
1012980,Cottondale,"Cottondale,Alabama,United States",21133,US,City
1012981,Cottonwood,"Cottonwood,Alabama,United States",21133,US,City
1012982,Cowarts,"Cowarts,Alabama,United States",21133,US,City
1012983,Creola,"Creola,Alabama,United States",21133,US,City
1012984,Crossville,"Crossville,Alabama,United States",21133,US,City
1012985,Cullman,"Cullman,Alabama,United States",21133,US,City
1012986,Daleville,"Daleville,Alabama,United States",21133,US,City
1012987,Daphne,"Daphne,Alabama,United States",21133,US,City
1012988,Dauphin Island,"Dauphin Island,Alabama,United States",21133,US,City
1012989,Deatsville,"Deatsville,Alabama,United States",21133,US,City
1012990,Decatur,"Decatur,Alabama,United States",21133,US,City
1012991,Demopolis,"Demopolis,Alabama,United States",21133,US,City
1012992,Dixons Mills,"Dixons Mills,Alabama,United States",21133,US,City
1012993,Dothan,"Dothan,Alabama,United States",21133,US,City
1012994,Eastaboga,"Eastaboga,Alabama,United States",21133,US,City
1012995,Eclectic,"Eclectic,Alabama,United States",21133,US,City
1012996,Eight Mile,"Eight Mile,Alabama,United States",21133,US,City
1012997,Elba,"Elba,Alabama,United States",21133,US,City
1012998,Elberta,"Elberta,Alabama,United States",21133,US,City
1012999,Enterprise,"Enterprise,Alabama,United States",21133,US,City
1013000,Eufaula,"Eufaula,Alabama,United States",21133,US,City
1013001,Eutaw,"Eutaw,Alabama,United States",21133,US,City
1013002,Evergreen,"Evergreen,Alabama,United States",21133,US,City
1013003,Excel,"Excel,Alabama,United States",21133,US,City
1013004,Fairfield,"Fairfield,Alabama,United States",21133,US,City
1013005,Fairhope,"Fairhope,Alabama,United States",21133,US,City
1013006,Fayette,"Fayette,Alabama,United States",21133,US,City
1013007,Florence,"Florence,Alabama,United States",21133,US,City
1013008,Foley,"Foley,Alabama,United States",21133,US,City
1013009,Fruitdale,"Fruitdale,Alabama,United States",21133,US,City
1013010,Fort Deposit,"Fort Deposit,Alabama,United States",21133,US,City
1013011,Fort Payne,"Fort Payne,Alabama,United States",21133,US,City
1013012,Fort Rucker,"Fort Rucker,Alabama,United States",21133,US,City
1013013,Fulton,"Fulton,Alabama,United States",21133,US,City
1013014,Fultondale,"Fultondale,Alabama,United States",21133,US,City
1013015,Gadsden,"Gadsden,Alabama,United States",21133,US,City
1013016,Gardendale,"Gardendale,Alabama,United States",21133,US,City
1013017,Geneva,"Geneva,Alabama,United States",21133,US,City
1013018,Glenwood,"Glenwood,Alabama,United States",21133,US,City
1013019,Goodwater,"Goodwater,Alabama,United States",21133,US,City
1013020,Gordo,"Gordo,Alabama,United States",21133,US,City
1013021,Grand Bay,"Grand Bay,Alabama,United States",21133,US,City
1013022,Graysville,"Graysville,Alabama,United States",21133,US,City
1013023,Greensboro,"Greensboro,Alabama,United States",21133,US,City
1013024,Greenville,"Greenville,Alabama,United States",21133,US,City
1013025,Grove Hill,"Grove Hill,Alabama,United States",21133,US,City
1013026,Guin,"Guin,Alabama,United States",21133,US,City
1013027,Gulf Shores,"Gulf Shores,Alabama,United States",21133,US,City
1013028,Guntersville,"Guntersville,Alabama,United States",21133,US,City
1013029,Haleyville,"Haleyville,Alabama,United States",21133,US,City
1013030,Hamilton,"Hamilton,Alabama,United States",21133,US,City
1013031,Hanceville,"Hanceville,Alabama,United States",21133,US,City
1013032,Hartselle,"Hartselle,Alabama,United States",21133,US,City
1013033,Hatchechubbee,"Hatchechubbee,Alabama,United States",21133,US,City
1013034,Hayden,"Hayden,Alabama,United States",21133,US,City
1013035,Hayneville,"Hayneville,Alabama,United States",21133,US,City
1013036,Hazel Green,"Hazel Green,Alabama,United States",21133,US,City
1013037,Headland,"Headland,Alabama,United States",21133,US,City
1013038,Heflin,"Heflin,Alabama,United States",21133,US,City
1013039,Helena,"Helena,Alabama,United States",21133,US,City
1013040,Hodges,"Hodges,Alabama,United States",21133,US,City
1013041,Hope Hull,"Hope Hull,Alabama,United States",21133,US,City
1013042,Huntsville,"Huntsville,Alabama,United States",21133,US,City
1013043,Huxford,"Huxford,Alabama,United States",21133,US,City
1013044,Ider,"Ider,Alabama,United States",21133,US,City
1013045,Jack,"Jack,Alabama,United States",21133,US,City
1013046,Jackson,"Jackson,Alabama,United States",21133,US,City
1013047,Jacksonville,"Jacksonville,Alabama,United States",21133,US,City
1013048,Jasper,"Jasper,Alabama,United States",21133,US,City
1013049,Jefferson,"Jefferson,Alabama,United States",21133,US,City
1013050,Kellyton,"Kellyton,Alabama,United States",21133,US,City
1013051,Killen,"Killen,Alabama,United States",21133,US,City
1013052,Laceys Spring,"Laceys Spring,Alabama,United States",21133,US,City
1013053,La Fayette,"La Fayette,Alabama,United States",21133,US,City
1013054,Lanett,"Lanett,Alabama,United States",21133,US,City
1013055,Leeds,"Leeds,Alabama,United States",21133,US,City
1013056,Leesburg,"Leesburg,Alabama,United States",21133,US,City
1013057,Lillian,"Lillian,Alabama,United States",21133,US,City
1013058,Lincoln,"Lincoln,Alabama,United States",21133,US,City
1013059,Linden,"Linden,Alabama,United States",21133,US,City
1013060,Lineville,"Lineville,Alabama,United States",21133,US,City
1013061,Livingston,"Livingston,Alabama,United States",21133,US,City
1013062,Loachapoka,"Loachapoka,Alabama,United States",21133,US,City
1013063,Locust Fork,"Locust Fork,Alabama,United States",21133,US,City
1013064,Loxley,"Loxley,Alabama,United States",21133,US,City
1013065,Luverne,"Luverne,Alabama,United States",21133,US,City
1013066,Madison,"Madison,Alabama,United States",21133,US,City
1013067,Marion,"Marion,Alabama,United States",21133,US,City
1013068,Mathews,"Mathews,Alabama,United States",21133,US,City
1013069,Millport,"Millport,Alabama,United States",21133,US,City
1013070,Millry,"Millry,Alabama,United States",21133,US,City
1013071,Mobile,"Mobile,Alabama,United States",21133,US,City
1013072,Monroeville,"Monroeville,Alabama,United States",21133,US,City
1013073,Montevallo,"Montevallo,Alabama,United States",21133,US,City
1013074,Montgomery,"Montgomery,Alabama,United States",21133,US,City
1013075,Montrose,"Montrose,Alabama,United States",21133,US,City
1013076,Morris,"Morris,Alabama,United States",21133,US,City
1013077,Moulton,"Moulton,Alabama,United States",21133,US,City
1013078,Munford,"Munford,Alabama,United States",21133,US,City
1013079,Muscle Shoals,"Muscle Shoals,Alabama,United States",21133,US,City
1013080,New Brockton,"New Brockton,Alabama,United States",21133,US,City
1013081,New Market,"New Market,Alabama,United States",21133,US,City
1013082,Newton,"Newton,Alabama,United States",21133,US,City
1013083,Newville,"Newville,Alabama,United States",21133,US,City
1013084,Normal,"Normal,Alabama,United States",21133,US,City
1013085,Northport,"Northport,Alabama,United States",21133,US,City
1013086,Notasulga,"Notasulga,Alabama,United States",21133,US,City
1013087,Oakman,"Oakman,Alabama,United States",21133,US,City
1013088,Oneonta,"Oneonta,Alabama,United States",21133,US,City
1013089,Opelika,"Opelika,Alabama,United States",21133,US,City
1013090,Opp,"Opp,Alabama,United States",21133,US,City
1013091,Orange Beach,"Orange Beach,Alabama,United States",21133,US,City
1013092,Oxford,"Oxford,Alabama,United States",21133,US,City
1013093,Ozark,"Ozark,Alabama,United States",21133,US,City
1013094,Paint Rock,"Paint Rock,Alabama,United States",21133,US,City
1013095,Pelham,"Pelham,Alabama,United States",21133,US,City
1013096,Pell City,"Pell City,Alabama,United States",21133,US,City
1013097,Pennington,"Pennington,Alabama,United States",21133,US,City
1013098,Perdue Hill,"Perdue Hill,Alabama,United States",21133,US,City
1013099,Phenix City,"Phenix City,Alabama,United States",21133,US,City
1013100,Piedmont,"Piedmont,Alabama,United States",21133,US,City
1013101,Pike Road,"Pike Road,Alabama,United States",21133,US,City
1013102,Pine Hill,"Pine Hill,Alabama,United States",21133,US,City
1013103,Pinson,"Pinson,Alabama,United States",21133,US,City
1013104,Pleasant Grove,"Pleasant Grove,Alabama,United States",21133,US,City
