City Name,Criteria ID,DMA Region Name,DMA Region Code
Readfield,1019013,"Portland-Auburn, ME",500
Richmond,1019014,"Portland-Auburn, ME",500
Rockland,1019016,"Portland-Auburn, ME",500
Rockport,1019017,"Portland-Auburn, ME",500
Rumford,1019019,"Portland-Auburn, ME",500
Sabattus,1019020,"Portland-Auburn, ME",500
Saco,1019021,"Portland-Auburn, ME",500
Sanford,1019024,"Portland-Auburn, ME",500
Scarborough,1019026,"Portland-Auburn, ME",500
Sebago,1019030,"Portland-Auburn, ME",500
Shapleigh,1019033,"Portland-Auburn, ME",500
South Berwick,1019041,"Portland-Auburn, ME",500
South Bristol,1019042,"Portland-Auburn, ME",500
South China,1019043,"Portland-Auburn, ME",500
South Gardiner,1019044,"Portland-Auburn, ME",500
South Paris,1019045,"Portland-Auburn, ME",500
South Portland,1019046,"Portland-Auburn, ME",500
South Thomaston,1019047,"Portland-Auburn, ME",500
Southport,1019048,"Portland-Auburn, ME",500
Springvale,1019051,"Portland-Auburn, ME",500
Standish,1019055,"Portland-Auburn, ME",500
Stratton,1019061,"Portland-Auburn, ME",500
Strong,1019062,"Portland-Auburn, ME",500
Sumner,1019064,"Portland-Auburn, ME",500
Tenants Harbor,1019068,"Portland-Auburn, ME",500
Thomaston,1019069,"Portland-Auburn, ME",500
Topsham,1019072,"Portland-Auburn, ME",500
Turner,1019074,"Portland-Auburn, ME",500
Union,1019075,"Portland-Auburn, ME",500
Vassalboro,1019079,"Portland-Auburn, ME",500
Vinalhaven,1019080,"Portland-Auburn, ME",500
Waldoboro,1019081,"Portland-Auburn, ME",500
Warren,1019082,"Portland-Auburn, ME",500
Washington,1019084,"Portland-Auburn, ME",500
Waterboro,1019085,"Portland-Auburn, ME",500
Waterford,1019086,"Portland-Auburn, ME",500
Waterville,1019087,"Portland-Auburn, ME",500
Wayne,1019088,"Portland-Auburn, ME",500
Weld,1019089,"Portland-Auburn, ME",500
Wells,1019090,"Portland-Auburn, ME",500
West Baldwin,1019092,"Portland-Auburn, ME",500
West Kennebunk,1019094,"Portland-Auburn, ME",500
West Newfield,1019095,"Portland-Auburn, ME",500
West Paris,1019096,"Portland-Auburn, ME",500
Westbrook,1019097,"Portland-Auburn, ME",500
Whitefield,1019098,"Portland-Auburn, ME",500
Wilton,1019100,"Portland-Auburn, ME",500
Windham,1019101,"Portland-Auburn, ME",500
Windsor,1019102,"Portland-Auburn, ME",500
Winthrop,1019105,"Portland-Auburn, ME",500
Wiscasset,1019106,"Portland-Auburn, ME",500
Woolwich,1019107,"Portland-Auburn, ME",500
Yarmouth,1019109,"Portland-Auburn, ME",500
York,1019110,"Portland-Auburn, ME",500
Bartlett,1021806,"Portland-Auburn, ME",500
Berlin,1021810,"Portland-Auburn, ME",500
Center Conway,1021821,"Portland-Auburn, ME",500
Center Ossipee,1021823,"Portland-Auburn, ME",500
Center Sandwich,1021824,"Portland-Auburn, ME",500
Colebrook,1021831,"Portland-Auburn, ME",500
Conway,1021834,"Portland-Auburn, ME",500
Errol,1021850,"Portland-Auburn, ME",500
Gorham,1021862,"Portland-Auburn, ME",500
Groveton,1021868,"Portland-Auburn, ME",500
Jackson,1021884,"Portland-Auburn, ME",500
Jefferson,1021886,"Portland-Auburn, ME",500
Kearsarge,1021887,"Portland-Auburn, ME",500
Lancaster,1021891,"Portland-Auburn, ME",500
Madison,1021902,"Portland-Auburn, ME",500
Milan,1021909,"Portland-Auburn, ME",500
Moultonborough,1021915,"Portland-Auburn, ME",500
North Conway,1021927,"Portland-Auburn, ME",500
North Stratford,1021931,"Portland-Auburn, ME",500
Ossipee,1021937,"Portland-Auburn, ME",500
Pittsburg,1021942,"Portland-Auburn, ME",500
Sanbornville,1021957,"Portland-Auburn, ME",500
Tamworth,1021968,"Portland-Auburn, ME",500
Twin Mountain,1021972,"Portland-Auburn, ME",500
Union,1021973,"Portland-Auburn, ME",500
West Stewartstown,1021981,"Portland-Auburn, ME",500
Whitefield,1021984,"Portland-Auburn, ME",500
Wolfeboro,1021990,"Portland-Auburn, ME",500
Wolfeboro Falls,1021991,"Portland-Auburn, ME",500
Boothbay Harbor,9051621,"Portland-Auburn, ME",500
Brunswick,9051660,"Portland-Auburn, ME",500
Camden,9051680,"Portland-Auburn, ME",500
China,9051731,"Portland-Auburn, ME",500
Conway,9051764,"Portland-Auburn, ME",500
Cumberland,9051797,"Portland-Auburn, ME",500
Farmington,9051934,"Portland-Auburn, ME",500
Freedom,9051992,"Portland-Auburn, ME",500
Freeport,9051994,"Portland-Auburn, ME",500
Gorham,9052042,"Portland-Auburn, ME",500
Kennebunk,9052224,"Portland-Auburn, ME",500
Kennebunkport,9052225,"Portland-Auburn, ME",500
Kittery,9052247,"Portland-Auburn, ME",500
Lancaster,9052287,"Portland-Auburn, ME",500
North Berwick,9052533,"Portland-Auburn, ME",500
Norway,9052574,"Portland-Auburn, ME",500
Oakland,9052584,"Portland-Auburn, ME",500
Oxford,9052617,"Portland-Auburn, ME",500
Rumford,9052786,"Portland-Auburn, ME",500
Sanford,9052805,"Portland-Auburn, ME",500
Scarborough,9052812,"Portland-Auburn, ME",500
Topsham,9052996,"Portland-Auburn, ME",500
Wakefield,9053067,"Portland-Auburn, ME",500
Waldoboro,9053068,"Portland-Auburn, ME",500
Winslow,9053186,"Portland-Auburn, ME",500
Winthrop,9053189,"Portland-Auburn, ME",500
